Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
Arca Fondi SGR SpA,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Argenta Banque d'Epargne SA,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
ArrowMark Colorado Holdings LLC,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Artemis Group,2018,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Artemis Group,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Artemis Investment Management LLP,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Artisan Partners Asset Management Inc.,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Arvest Funds AG,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Arvind Limited,2015,5962112,NA,417214,439498,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arvind Limited,2016,5893815,NA,431290,432253,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arvind Limited,2017,Unknown,,Unknown,Unknown,,,,,,,,,""26/2 & 27/2, Kenchanahalli, Mysore Road, 560059, Bangalore""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arvind Limited,2019,4264000,12127,Unknown,Unknown,No Living Wage Policy,,Unknown,Unknown,4364000,,,,""381 Srn Reddy's Industrial Complex Bangalore 560100 Karnataka, India""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arvind Limited,2021,,Unknown,,,No Living Wage Policy,,,,,,,,""63/09,Dodda Thogur Village Electricity City Phase-1 Bangalore, Karnataka, India""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arvind Limited,2022,6412024,NA,362942,283654,NA,NA,26421.58,17342.42,NA,NA,NA,NA,NA
